opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,staircase_loop.response,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,0.005,0.49,,,,,,,,,34.350494199985405,34.350494199985405,34.45699079998303,34.45699079998303,"(16, 8)",34.45699079998303,34.45699079998303,34.45699079998303,1,0.19771430001128465,34.668696399981854,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,3,0.005,0.485,,,,,,,,,35.195144799974514,35.195144799974514,35.30849679998937,35.30849679998937,"(16, -8)",35.30849679998937,35.30849679998937,35.30849679998937,1,0.22505370003636926,35.54811669999617,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,4,0.005,0.48,,,,,,,,,36.07632979998016,36.07632979998016,36.193338399985805,36.193338399985805,"(16, 8)",36.193338399985805,36.193338399985805,36.193338399985805,0,0.2706869000394363,36.478702199994586,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,5,0.005,0.485,,,,,,,,,37.006192799977725,37.006192799977725,37.12852159998147,37.12852159998147,"(-16, 8)",37.12852159998147,37.12852159998147,37.12852159998147,0,0.20340750002651475,37.34175769999274,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,6,0.005,0.485,,,,,,,,,37.863891799992416,37.863891799992416,37.96756599997752,37.96756599997752,"(-16, 8)",37.96756599997752,37.96756599997752,37.96756599997752,1,0.17903190001379699,38.158847799990326,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,7,0.005,0.48,,,,,,,,,38.69175669999095,38.69175669999095,38.79845119998208,38.79845119998208,"(-16, -8)",38.79845119998208,38.79845119998208,38.79845119998208,1,0.48396790004335344,39.297255699988455,39.81993539998075,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,8,0.005,0.475,,,,,,,,,39.81993539998075,39.81993539998075,39.92910369997844,39.92910369997844,"(-16, 8)",39.92910369997844,39.92910369997844,39.92910369997844,0,0.25405460005276836,40.19953549999627,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,9,0.005,0.475,,,,,,,,,40.72215869999491,40.72215869999491,40.83106389999739,40.83106389999739,"(16, -8)",40.83106389999739,40.83106389999739,40.83106389999739,1,0.17555120002361946,41.021468399994774,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,10,0.005,0.47,,,,,,,,,41.54763359998469,41.54763359998469,41.6583906999731,41.6583906999731,"(16, 8)",41.6583906999731,41.6583906999731,41.6583906999731,1,0.14587520001805387,41.82421429999522,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,11,0.005,0.46499999999999997,,,,,,,,,42.34759039999335,42.34759039999335,42.45749589998741,42.45749589998741,"(-16, -8)",42.45749589998741,42.45749589998741,42.45749589998741,1,0.15735970000969246,42.626716599974316,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,12,0.005,0.45999999999999996,,,,,,,,,43.15202749997843,43.15202749997843,43.2628128999786,43.2628128999786,"(-16, -8)",43.2628128999786,43.2628128999786,43.2628128999786,0,0.14677070002653636,43.42534079999314,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,13,0.005,0.45999999999999996,,,,,,,,,43.95008389998111,43.95008389998111,44.05302099999972,44.05302099999972,"(-16, 8)",44.05302099999972,44.05302099999972,44.05302099999972,1,0.17198090002057143,44.24047739998787,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,14,0.005,0.45499999999999996,,,,,,,,,44.76351900000009,44.76351900000009,44.88663059999817,44.88663059999817,"(16, 8)",44.88663059999817,44.88663059999817,44.88663059999817,1,0.32857230002991855,45.22999219998019,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,15,0.005,0.44999999999999996,,,,,,,,,45.76000739997835,45.76000739997835,45.86651689998689,45.86651689998689,"(-16, -8)",45.86651689998689,45.86651689998689,45.86651689998689,1,0.2403051000146661,46.12328849997721,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,16,0.005,0.44499999999999995,,,,,,,,,46.64459859998897,46.64459859998897,46.76489339998807,46.76489339998807,"(16, 8)",46.76489339998807,46.76489339998807,46.76489339998807,1,0.2083860000129789,46.9900749999797,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,17,0.005,0.43999999999999995,,,,,,,,,47.512946099974215,47.512946099974215,47.63224489998538,47.63224489998538,"(16, -8)",47.63224489998538,47.63224489998538,47.63224489998538,1,0.19894170001498424,47.84048269997584,48.37111839998397,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,18,0.005,0.43499999999999994,,,,,,,,,48.37111839998397,48.37111839998397,48.48270979998051,48.48270979998051,"(-16, -8)",48.48270979998051,48.48270979998051,48.48270979998051,0,0.4178035000222735,48.91806719999295,,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
0,0,0,0,19,0.005,0.43499999999999994,,,,,,,,,49.42772699997295,49.42772699997295,49.53488649998326,49.53488649998326,"(16, -8)",49.53488649998326,49.53488649998326,49.53488649998326,1,0.2287534000352025,49.77628779999213,50.27757589999237,072723,001,0.1,2023-10-27_18h04.27.012,stimuli4,2022.2.5,143.98640764666845,
