opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,staircase_loop.response,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,100.32263149999199,100.32263149999199,space,51.02849330002209,,,,,,,,,,,,,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,0,0.005,0.412,,,,,,,,,151.45222740000463,151.45222740000463,151.5566955000104,151.5566955000104,"(-16, 8)",151.5566955000104,151.5566955000104,151.5566955000104,1,6.661268500000006,158.2312407999998,158.74541259999387,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,1,0.005,0.407,,,,,,,,,158.74541259999387,158.74541259999387,158.85249920000206,158.85249920000206,"(-16, 8)",158.85249920000206,158.85249920000206,158.85249920000206,1,0.6608925999898929,159.52237140000216,160.03660729998956,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,2,0.005,0.40199999999999997,,,,,,,,,160.03660729998956,160.03660729998956,160.14320210000733,160.14320210000733,"(-16, 8)",160.14320210000733,160.14320210000733,160.14320210000733,1,0.547354299982544,160.7028113999986,161.21672019999824,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,3,0.005,0.39699999999999996,,,,,,,,,161.21672019999824,161.21672019999824,161.32247220000136,161.32247220000136,"(16, 8)",161.32247220000136,161.32247220000136,161.32247220000136,1,0.3354296999750659,161.66794620000292,,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,4,0.005,0.39199999999999996,,,,,,,,,162.18364699999802,162.18364699999802,162.28932859998895,162.28932859998895,"(-16, 8)",162.28932859998895,162.28932859998895,162.28932859998895,1,0.6596758000086993,162.9599894999992,163.47665289998986,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,5,0.005,0.38699999999999996,,,,,,,,,163.47665289998986,163.47665289998986,163.58052789999056,163.58052789999056,"(-16, -8)",163.58052789999056,163.58052789999056,163.58052789999056,1,0.4690425000153482,164.05819420001353,164.57149319999735,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,6,0.005,0.38199999999999995,,,,,,,,,164.57149319999735,164.57149319999735,164.6779477999953,164.6779477999953,"(16, -8)",164.6779477999953,164.6779477999953,164.6779477999953,1,0.41185000000405125,165.09837439999683,165.61352220000117,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,7,0.005,0.37699999999999995,,,,,,,,,165.61352220000117,165.61352220000117,165.72035389998928,165.72035389998928,"(-16, 8)",165.72035389998928,165.72035389998928,165.72035389998928,1,0.8139353999868035,166.54291089999606,167.05728109998745,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
0,0,0,0,8,0.005,0.37199999999999994,,,,,,,,,167.05728109998745,167.05728109998745,167.16401559999213,167.16401559999213,"(16, 8)",167.16401559999213,167.16401559999213,167.16401559999213,1,0.38529959999141283,167.55676760000642,168.07214440000826,516420,001,0.1,2023-10-27_17h58.14.287,stimuli4,2022.2.5,145.7362668807039,
