37.5304 	EXP 	placeholder: autoDraw = True
38.5240 	EXP 	New trial (rep=2, index=0): None
40.7451 	EXP 	placeholder: autoDraw = False
40.7451 	EXP 	placeholder: autoDraw = False
40.7451 	EXP 	aperture: enabled = True
40.7451 	EXP 	GA: autoDraw = True
40.7451 	EXP 	aperture: enabled = True
40.7451 	EXP 	GA: tex = 'sqr'
42.2211 	EXP 	GA: autoDraw = False
42.2211 	EXP 	aperture: enabled = False
42.2211 	EXP 	GA: autoDraw = False
42.2211 	EXP 	aperture: autoDraw = False
42.2211 	EXP 	aperture: enabled = False
42.2211 	EXP 	placeholder: autoDraw = True
43.2176 	EXP 	New trial (rep=3, index=0): None
45.4562 	EXP 	placeholder: autoDraw = False
45.4562 	EXP 	aperture: enabled = True
45.4562 	EXP 	GA: autoDraw = True
45.4562 	EXP 	aperture: enabled = True
45.4562 	EXP 	GA: tex = 'sqr'
46.9256 	EXP 	GA: autoDraw = False
46.9256 	EXP 	aperture: enabled = False
46.9256 	EXP 	GA: autoDraw = False
46.9256 	EXP 	aperture: autoDraw = False
46.9256 	EXP 	aperture: enabled = False
46.9256 	EXP 	placeholder: autoDraw = True
47.9209 	EXP 	New trial (rep=2, index=0): None
47.9214 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
47.9215 	EXP 	New trial (rep=0, index=0): None
50.1753 	EXP 	placeholder: autoDraw = False
50.1753 	EXP 	placeholder: autoDraw = False
50.1753 	EXP 	aperture: enabled = True
50.1753 	EXP 	GA: autoDraw = True
50.1753 	EXP 	aperture: enabled = True
50.1753 	EXP 	GA: tex = 'sqr'
51.6652 	EXP 	GA: autoDraw = False
51.6652 	EXP 	aperture: enabled = False
51.6652 	EXP 	GA: autoDraw = False
51.6652 	EXP 	aperture: autoDraw = False
51.6652 	EXP 	aperture: enabled = False
51.6652 	EXP 	placeholder: autoDraw = True
52.6623 	EXP 	New trial (rep=1, index=0): None
54.9184 	EXP 	placeholder: autoDraw = False
54.9184 	EXP 	aperture: enabled = True
54.9184 	EXP 	GA: autoDraw = True
54.9184 	EXP 	aperture: enabled = True
54.9184 	EXP 	GA: tex = 'sqr'
56.3989 	EXP 	GA: autoDraw = False
56.3989 	EXP 	aperture: enabled = False
56.3989 	EXP 	GA: autoDraw = False
56.3989 	EXP 	aperture: autoDraw = False
56.3989 	EXP 	aperture: enabled = False
56.3989 	EXP 	placeholder: autoDraw = True
57.3980 	EXP 	New trial (rep=2, index=0): None
59.6521 	EXP 	placeholder: autoDraw = False
59.6521 	EXP 	aperture: enabled = True
59.6521 	EXP 	GA: autoDraw = True
59.6521 	EXP 	aperture: enabled = True
59.6521 	EXP 	GA: tex = 'sqr'
61.1285 	EXP 	GA: autoDraw = False
61.1285 	EXP 	aperture: enabled = False
61.1285 	EXP 	GA: autoDraw = False
61.1285 	EXP 	aperture: autoDraw = False
61.1285 	EXP 	aperture: enabled = False
61.1285 	EXP 	placeholder: autoDraw = True
62.1275 	EXP 	New trial (rep=3, index=0): None
64.3506 	EXP 	placeholder: autoDraw = False
64.3506 	EXP 	aperture: enabled = True
64.3506 	EXP 	GA: autoDraw = True
64.3506 	EXP 	aperture: enabled = True
64.3506 	EXP 	GA: tex = 'sqr'
65.8071 	EXP 	GA: autoDraw = False
65.8071 	EXP 	aperture: enabled = False
65.8071 	EXP 	GA: autoDraw = False
65.8071 	EXP 	aperture: autoDraw = False
65.8071 	EXP 	aperture: enabled = False
65.8071 	EXP 	placeholder: autoDraw = True
66.8007 	EXP 	New trial (rep=3, index=0): None
66.8012 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
66.8013 	EXP 	New trial (rep=0, index=0): None
69.0095 	EXP 	placeholder: autoDraw = False
69.0095 	EXP 	placeholder: autoDraw = False
69.0095 	EXP 	aperture: enabled = True
69.0095 	EXP 	GA: autoDraw = True
69.0095 	EXP 	aperture: enabled = True
69.0095 	EXP 	GA: tex = 'sqr'
70.5207 	EXP 	GA: autoDraw = False
70.5207 	EXP 	aperture: enabled = False
70.5207 	EXP 	GA: autoDraw = False
70.5207 	EXP 	aperture: autoDraw = False
70.5207 	EXP 	aperture: enabled = False
70.5207 	EXP 	placeholder: autoDraw = True
71.5164 	EXP 	New trial (rep=1, index=0): None
73.7595 	EXP 	placeholder: autoDraw = False
73.7595 	EXP 	placeholder: autoDraw = False
73.7595 	EXP 	aperture: enabled = True
73.7595 	EXP 	GA: autoDraw = True
73.7595 	EXP 	aperture: enabled = True
73.7595 	EXP 	GA: tex = 'sqr'
75.2330 	EXP 	GA: autoDraw = False
75.2330 	EXP 	aperture: enabled = False
75.2330 	EXP 	GA: autoDraw = False
75.2330 	EXP 	aperture: autoDraw = False
75.2330 	EXP 	aperture: enabled = False
75.2330 	EXP 	placeholder: autoDraw = True
76.2308 	EXP 	New trial (rep=2, index=0): None
78.4656 	EXP 	placeholder: autoDraw = False
78.4656 	EXP 	aperture: enabled = True
78.4656 	EXP 	GA: autoDraw = True
78.4656 	EXP 	aperture: enabled = True
78.4656 	EXP 	GA: tex = 'sqr'
79.9428 	EXP 	GA: autoDraw = False
79.9428 	EXP 	aperture: enabled = False
79.9428 	EXP 	GA: autoDraw = False
79.9428 	EXP 	aperture: autoDraw = False
79.9428 	EXP 	aperture: enabled = False
79.9428 	EXP 	placeholder: autoDraw = True
80.9392 	EXP 	New trial (rep=3, index=0): None
83.1585 	EXP 	placeholder: autoDraw = False
83.1585 	EXP 	aperture: enabled = True
83.1585 	EXP 	GA: autoDraw = True
83.1585 	EXP 	aperture: enabled = True
83.1585 	EXP 	GA: tex = 'sqr'
84.6591 	EXP 	GA: autoDraw = False
84.6591 	EXP 	aperture: enabled = False
84.6591 	EXP 	GA: autoDraw = False
84.6591 	EXP 	aperture: autoDraw = False
84.6591 	EXP 	aperture: enabled = False
84.6591 	EXP 	placeholder: autoDraw = True
85.7036 	EXP 	window1: mouseVisible = True
