GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,15.595746300008614,17.088099700049497,"(16, 0)",17.088099700049497,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
0,0,0,0,1,0,1,0,,20.321572000044398,21.799598500016145,"(-16, 0)",21.799598500016145,25.048522000026423,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
0,0,0,0,2,0,2,0,,25.048522000026423,26.4989576000371,"(-16, 0)",26.4989576000371,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
0,0,0,0,3,0,3,0,,29.76058150001336,31.25704500003485,"(-16, 0)",31.25704500003485,34.54568070004461,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
1,0,1,0,0,0,0,0,0.8,34.54568070004461,36.01013020001119,"(16, 0)",36.01013020001119,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
1,0,1,0,1,0,1,0,,39.2547360000317,40.726198000018485,"(16, 0)",40.726198000018485,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
1,0,1,0,2,0,2,0,,43.953951800009236,45.42219140002271,"(-16, 0)",45.42219140002271,48.7051216000109,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
1,0,1,0,3,0,3,0,,48.7051216000109,50.18373350001639,"(16, 0)",50.18373350001639,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
2,0,2,0,0,0,0,0,0.6000000000000001,53.51114720001351,54.995702400046866,"(-16, 0)",54.995702400046866,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
2,0,2,0,1,0,1,0,,58.2403935000184,59.71171870001126,"(16, 0)",59.71171870001126,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
2,0,2,0,2,0,2,0,,63.019389700028114,64.50577340001473,"(16, 0)",64.50577340001473,67.80545760004316,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
2,0,2,0,3,0,3,0,,67.80545760004316,69.31842490000417,"(16, 0)",69.31842490000417,72.54253780003637,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
3,0,3,0,0,0,0,0,0.4000000000000001,72.54253780003637,74.01603050000267,"(16, 0)",74.01603050000267,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
3,0,3,0,1,0,1,0,,77.23750490002567,78.70739850000245,"(-16, 0)",78.70739850000245,81.94710510002915,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
3,0,3,0,2,0,2,0,,81.94710510002915,83.4199511000188,"(-16, 0)",83.4199511000188,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
3,0,3,0,3,0,3,0,,86.68775840004673,88.20529400004307,"(-16, 0)",88.20529400004307,,964676,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h12.53.939,iva,2022.2.5,143.61708243037688,
