1.6650 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
5.9042 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019E6429B1C0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019E69CAF1F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9043 	EXP 	window1: mouseVisible = True
5.9044 	EXP 	window1: mouseVisible = False
5.9044 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.9044 	EXP 	window1: recordFrameIntervals = False
5.9738 	EXP 	window1: recordFrameIntervals = True
6.0505 	EXP 	Screen (0) actual frame rate measured at 143.64Hz
6.0506 	EXP 	window1: recordFrameIntervals = False
7.9495 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.9609 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.8, 0.8]), size=array([32., 64.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
7.9640 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([128.]), units='deg', win=Window(...))
7.9691 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.9767 	EXP 	aperture: enabled = False
7.9767 	EXP 	text: autoDraw = True
9.7379 	EXP 	Created sequence: sequential, trialTypes=1, nReps=4, seed=None
9.7380 	EXP 	New trial (rep=0, index=0): None
9.7383 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
9.7384 	EXP 	New trial (rep=0, index=0): None
9.7769 	DATA 	Keypress: space
9.7811 	EXP 	text: autoDraw = False
9.7811 	EXP 	aperture: enabled = True
9.7811 	EXP 	GA: autoDraw = True
9.7811 	EXP 	aperture: enabled = True
9.7811 	EXP 	GA: tex = 'sqr'
10.7790 	EXP 	GA: autoDraw = False
10.7790 	EXP 	aperture: enabled = False
10.7790 	EXP 	GA: autoDraw = False
10.7790 	EXP 	aperture: autoDraw = False
10.7790 	EXP 	aperture: enabled = False
10.7790 	EXP 	placeholder: autoDraw = True
11.1684 	EXP 	New trial (rep=1, index=0): None
11.1767 	DATA 	Keypress: right
11.1809 	EXP 	placeholder: autoDraw = False
11.1809 	EXP 	aperture: enabled = True
11.1809 	EXP 	GA: autoDraw = True
11.1809 	EXP 	aperture: enabled = True
11.1809 	EXP 	GA: tex = 'sqr'
12.1814 	EXP 	GA: autoDraw = False
12.1814 	EXP 	aperture: enabled = False
