ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.147945100005018,25.147945100005018,space,0.569486299995333,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,25.803764700016472,25.803764700016472,25.912960000016028,25.912960000016028,"(-16, 0)",25.912960000016028,25.912960000016028,25.912960000016028,j,1,0.743441200000234,26.666215400007786,27.186686500004726,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
1,0,1,0,0,0,0,0,,,,,0.1414213562373095,0.5,27.186686500004726,27.186686500004726,27.293816100020194,27.293816100020194,"(-16, 0)",27.293816100020194,27.293816100020194,27.293816100020194,j,1,0.2025564000068698,27.50720459999866,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,28.024061800009804,28.024061800009804,28.12444390001474,28.12444390001474,"(16, 0)",28.12444390001474,28.12444390001474,28.12444390001474,k,1,0.20208489999640733,28.33954889999586,28.851384200010216,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
3,0,3,0,0,0,0,0,,,,,0.1414213562373095,0.5,28.851384200010216,28.851384200010216,28.951564999995753,28.951564999995753,"(-16, 0)",28.951564999995753,28.951564999995753,28.951564999995753,j,1,0.16689510000287555,29.13071349999518,29.64558070001658,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
4,0,4,0,0,0,0,0,,,,,0.020000000000000004,0.5,29.64558070001658,29.64558070001658,29.751111999998102,29.751111999998102,"(-16, 0)",29.751111999998102,29.751111999998102,29.751111999998102,j,1,0.20717940002214164,29.970890800002962,30.4872272000066,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,30.4872272000066,30.4872272000066,30.591940900019836,30.591940900019836,"(16, 0)",30.591940900019836,30.591940900019836,30.591940900019836,k,1,0.18837429999257438,30.790998100012075,31.30861979999463,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
6,0,6,0,0,0,0,0,,,,,0.3760603093086394,0.5,31.30861979999463,31.30861979999463,31.410616300010588,31.410616300010588,"(-16, 0)",31.410616300010588,31.410616300010588,31.410616300010588,j,1,0.1263984000252094,31.547658099996625,32.062850999995135,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
7,0,7,0,0,0,0,0,,,,,1.0,0.5,32.062850999995135,32.062850999995135,32.16984390001744,32.16984390001744,"(16, 0)",32.16984390001744,32.16984390001744,32.16984390001744,k,1,0.14988059998722747,32.33259989999351,32.84925500000827,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
8,0,8,0,0,0,0,0,,,,,0.3760603093086394,0.5,32.84925500000827,32.84925500000827,32.95520719999331,32.95520719999331,"(16, 0)",32.95520719999331,32.95520719999331,32.95520719999331,k,1,0.1560779999999795,33.12398120001308,33.63857010001084,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
9,0,9,0,0,0,0,0,,,,,1.0,0.5,33.63857010001084,33.63857010001084,33.74467960000038,33.74467960000038,"(16, 0)",33.74467960000038,33.74467960000038,33.74467960000038,k,1,0.2669556000037119,34.02011660000426,34.5344965000113,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
10,0,10,0,0,0,0,0,,,,,0.020000000000000004,0.5,34.5344965000113,34.5344965000113,34.639636400010204,34.639636400010204,"(16, 0)",34.639636400010204,34.639636400010204,34.639636400010204,k,1,0.29085660001146607,34.944263800018234,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
11,0,11,0,0,0,0,0,,,,,0.020000000000000004,0.5,35.46305660001235,35.46305660001235,35.56773370000883,35.56773370000883,"(16, 0)",35.56773370000883,35.56773370000883,35.56773370000883,k,1,0.175463799998397,35.755743300018366,36.272218500002054,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,36.272218500002054,36.272218500002054,36.37805130000925,36.37805130000925,"(-16, 0)",36.37805130000925,36.37805130000925,36.37805130000925,j,1,0.13278370001353323,36.52009770000586,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
13,0,13,0,0,0,0,0,,,,,0.3760603093086394,0.5,37.043006199994124,37.043006199994124,37.146144600003026,37.146144600003026,"(-16, 0)",37.146144600003026,37.146144600003026,37.146144600003026,j,1,0.14746129998820834,37.30460659999517,37.82005619999836,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
14,0,14,0,0,0,0,0,,,,,0.05318295896944989,0.5,37.82005619999836,37.82005619999836,37.92782559999614,37.92782559999614,"(-16, 0)",37.92782559999614,37.92782559999614,37.92782559999614,j,1,0.16423110000323504,38.10322889999952,38.61524670000654,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
15,0,15,0,0,0,0,0,,,,,0.05318295896944989,0.5,38.61524670000654,38.61524670000654,38.721126699994784,38.721126699994784,"(16, 0)",38.721126699994784,38.721126699994784,38.721126699994784,k,1,0.20822870000847615,38.93661040000734,39.451417600008426,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,39.451417600008426,39.451417600008426,39.556271700013895,39.556271700013895,"(-16, 0)",39.556271700013895,39.556271700013895,39.556271700013895,j,1,0.22110890000476502,39.78974370000651,40.30451320001157,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,40.30451320001157,40.30451320001157,40.41097950001131,40.41097950001131,"(16, 0)",40.41097950001131,40.41097950001131,40.41097950001131,k,1,0.14337050000904128,40.57155680001597,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
18,0,18,0,0,0,0,0,,,,,0.05318295896944989,0.5,41.082541500014486,41.082541500014486,41.18946739999228,41.18946739999228,"(-16, 0)",41.18946739999228,41.18946739999228,41.18946739999228,j,1,0.1510765999846626,41.35279860001174,41.868381900014356,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
19,0,19,0,0,0,0,0,,,,,0.3760603093086394,0.5,41.868381900014356,41.868381900014356,41.973432700004196,41.973432700004196,"(16, 0)",41.973432700004196,41.973432700004196,41.973432700004196,k,1,0.12572520002140664,42.11020090000238,42.60956250000163,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,841841,001,0.1,2023-08-13_01h47.36.499,stimuli3,2022.2.5,144.90968504907465,
