1.5449 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
15.8289 	EXP 	GA: autoDraw = False
15.8289 	EXP 	aperture: autoDraw = False
15.8289 	EXP 	aperture: enabled = False
15.8289 	EXP 	placeholder: autoDraw = True
16.0727 	EXP 	New trial (rep=1, index=0): None
16.0825 	DATA 	Keypress: left
16.0869 	EXP 	placeholder: autoDraw = False
16.0869 	EXP 	aperture: enabled = True
16.0869 	EXP 	GA: autoDraw = True
16.0869 	EXP 	aperture: enabled = True
16.0869 	EXP 	GA: tex = 'sqr'
17.0857 	EXP 	GA: autoDraw = False
17.0857 	EXP 	aperture: enabled = False
17.0857 	EXP 	GA: autoDraw = False
17.0857 	EXP 	aperture: autoDraw = False
17.0857 	EXP 	aperture: enabled = False
17.0857 	EXP 	placeholder: autoDraw = True
17.2739 	EXP 	New trial (rep=2, index=0): None
17.2818 	DATA 	Keypress: left
17.2864 	EXP 	placeholder: autoDraw = False
17.2864 	EXP 	aperture: enabled = True
17.2864 	EXP 	GA: autoDraw = True
17.2864 	EXP 	aperture: enabled = True
17.2864 	EXP 	GA: tex = 'sqr'
18.2872 	EXP 	GA: autoDraw = False
18.2872 	EXP 	aperture: enabled = False
18.2872 	EXP 	GA: autoDraw = False
18.2872 	EXP 	aperture: autoDraw = False
18.2872 	EXP 	aperture: enabled = False
18.2872 	EXP 	placeholder: autoDraw = True
18.6559 	EXP 	New trial (rep=3, index=0): None
18.6640 	DATA 	Keypress: right
18.6686 	EXP 	placeholder: autoDraw = False
18.6686 	EXP 	aperture: enabled = True
18.6686 	EXP 	GA: autoDraw = True
18.6686 	EXP 	aperture: enabled = True
18.6686 	EXP 	GA: tex = 'sqr'
19.6690 	EXP 	GA: autoDraw = False
19.6690 	EXP 	aperture: enabled = False
19.6690 	EXP 	GA: autoDraw = False
19.6690 	EXP 	aperture: autoDraw = False
19.6690 	EXP 	aperture: enabled = False
19.6690 	EXP 	placeholder: autoDraw = True
19.9614 	EXP 	New trial (rep=2, index=0): None
19.9618 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
19.9620 	EXP 	New trial (rep=0, index=0): None
19.9713 	DATA 	Keypress: right
19.9758 	EXP 	placeholder: autoDraw = False
19.9758 	EXP 	aperture: enabled = True
19.9758 	EXP 	GA: autoDraw = True
19.9758 	EXP 	aperture: enabled = True
19.9758 	EXP 	GA: tex = 'sqr'
20.9746 	EXP 	GA: autoDraw = False
20.9746 	EXP 	aperture: enabled = False
20.9746 	EXP 	GA: autoDraw = False
20.9746 	EXP 	aperture: autoDraw = False
20.9746 	EXP 	aperture: enabled = False
20.9746 	EXP 	placeholder: autoDraw = True
21.1975 	EXP 	New trial (rep=1, index=0): None
21.2055 	DATA 	Keypress: left
21.2099 	EXP 	placeholder: autoDraw = False
21.2099 	EXP 	aperture: enabled = True
21.2099 	EXP 	GA: autoDraw = True
21.2099 	EXP 	aperture: enabled = True
21.2099 	EXP 	GA: tex = 'sqr'
22.2106 	EXP 	GA: autoDraw = False
22.2106 	EXP 	aperture: enabled = False
22.2106 	EXP 	GA: autoDraw = False
22.2106 	EXP 	aperture: autoDraw = False
22.2106 	EXP 	aperture: enabled = False
22.2106 	EXP 	placeholder: autoDraw = True
22.4196 	EXP 	New trial (rep=2, index=0): None
22.4276 	DATA 	Keypress: left
22.4322 	EXP 	placeholder: autoDraw = False
22.4322 	EXP 	aperture: enabled = True
