GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,11.947385500010569,13.425652400008403,"(-16, 0)",13.425652400008403,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
0,0,0,0,1,0,1,0,,16.745819900010247,18.244559000013396,"(-16, 0)",18.244559000013396,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
0,0,0,0,2,0,2,0,,21.487102399987634,22.97348799998872,"(-16, 0)",22.97348799998872,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
0,0,0,0,3,0,3,0,,26.219950600003358,27.68299579998711,"(-16, 0)",27.68299579998711,30.887797500006855,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
1,0,1,0,0,0,0,0,0.8,30.887797500006855,32.35804729996016,"(16, 0)",32.35804729996016,35.582634999998845,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
1,0,1,0,1,0,1,0,,35.582634999998845,37.05007029999979,"(16, 0)",37.05007029999979,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
1,0,1,0,2,0,2,0,,40.2845326999668,41.78823669999838,"(-16, 0)",41.78823669999838,45.03643999999622,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
1,0,1,0,3,0,3,0,,45.03643999999622,46.526112999999896,"(16, 0)",46.526112999999896,49.740143699978944,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
2,0,2,0,0,0,0,0,0.6000000000000001,49.740143699978944,51.234995700011496,"(16, 0)",51.234995700011496,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
2,0,2,0,1,0,1,0,,54.4958846999798,56.054249299981166,"(16, 0)",56.054249299981166,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
2,0,2,0,2,0,2,0,,59.32382409996353,60.812840899976436,"(-16, 0)",60.812840899976436,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
2,0,2,0,3,0,3,0,,64.04880599997705,65.54102740000235,"(16, 0)",65.54102740000235,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
3,0,3,0,0,0,0,0,0.4000000000000001,68.7943474999629,70.27851039997768,"(16, 0)",70.27851039997768,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
3,0,3,0,1,0,1,0,,73.53093519998947,75.05348269996466,"(16, 0)",75.05348269996466,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
3,0,3,0,2,0,2,0,,78.49966619996121,80.02673769998364,"(16, 0)",80.02673769998364,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
3,0,3,0,3,0,3,0,,83.30286299996078,84.77472669997951,"(16, 0)",84.77472669997951,,253900,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h04.49.737,iva,2022.2.5,143.76884269783773,
