37.0501 	EXP 	placeholder: autoDraw = True
38.0470 	EXP 	New trial (rep=2, index=0): None
40.2845 	EXP 	placeholder: autoDraw = False
40.2845 	EXP 	aperture: enabled = True
40.2845 	EXP 	GA: autoDraw = True
40.2845 	EXP 	aperture: enabled = True
40.2845 	EXP 	GA: tex = 'sqr'
41.7882 	EXP 	GA: autoDraw = False
41.7882 	EXP 	aperture: enabled = False
41.7882 	EXP 	GA: autoDraw = False
41.7882 	EXP 	aperture: autoDraw = False
41.7882 	EXP 	aperture: enabled = False
41.7882 	EXP 	placeholder: autoDraw = True
42.7827 	EXP 	New trial (rep=3, index=0): None
45.0364 	EXP 	placeholder: autoDraw = False
45.0364 	EXP 	placeholder: autoDraw = False
45.0364 	EXP 	aperture: enabled = True
45.0364 	EXP 	GA: autoDraw = True
45.0364 	EXP 	aperture: enabled = True
45.0364 	EXP 	GA: tex = 'sqr'
46.5261 	EXP 	GA: autoDraw = False
46.5261 	EXP 	aperture: enabled = False
46.5261 	EXP 	GA: autoDraw = False
46.5261 	EXP 	aperture: autoDraw = False
46.5261 	EXP 	aperture: enabled = False
46.5261 	EXP 	placeholder: autoDraw = True
47.5188 	EXP 	New trial (rep=2, index=0): None
47.5193 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
47.5194 	EXP 	New trial (rep=0, index=0): None
49.7401 	EXP 	placeholder: autoDraw = False
49.7401 	EXP 	placeholder: autoDraw = False
49.7401 	EXP 	aperture: enabled = True
49.7401 	EXP 	GA: autoDraw = True
49.7401 	EXP 	aperture: enabled = True
49.7401 	EXP 	GA: tex = 'sqr'
51.2350 	EXP 	GA: autoDraw = False
51.2350 	EXP 	aperture: enabled = False
51.2350 	EXP 	GA: autoDraw = False
51.2350 	EXP 	aperture: autoDraw = False
51.2350 	EXP 	aperture: enabled = False
51.2350 	EXP 	placeholder: autoDraw = True
52.2339 	EXP 	New trial (rep=1, index=0): None
54.4959 	EXP 	placeholder: autoDraw = False
54.4959 	EXP 	aperture: enabled = True
54.4959 	EXP 	GA: autoDraw = True
54.4959 	EXP 	aperture: enabled = True
54.4959 	EXP 	GA: tex = 'sqr'
56.0542 	EXP 	GA: autoDraw = False
56.0542 	EXP 	aperture: enabled = False
56.0542 	EXP 	GA: autoDraw = False
56.0542 	EXP 	aperture: autoDraw = False
56.0542 	EXP 	aperture: enabled = False
56.0542 	EXP 	placeholder: autoDraw = True
57.0534 	EXP 	New trial (rep=2, index=0): None
59.3238 	EXP 	placeholder: autoDraw = False
59.3238 	EXP 	aperture: enabled = True
59.3238 	EXP 	GA: autoDraw = True
59.3238 	EXP 	aperture: enabled = True
59.3238 	EXP 	GA: tex = 'sqr'
60.8128 	EXP 	GA: autoDraw = False
60.8128 	EXP 	aperture: enabled = False
60.8128 	EXP 	GA: autoDraw = False
60.8128 	EXP 	aperture: autoDraw = False
60.8128 	EXP 	aperture: enabled = False
60.8128 	EXP 	placeholder: autoDraw = True
61.8102 	EXP 	New trial (rep=3, index=0): None
64.0488 	EXP 	placeholder: autoDraw = False
64.0488 	EXP 	aperture: enabled = True
64.0488 	EXP 	GA: autoDraw = True
64.0488 	EXP 	aperture: enabled = True
64.0488 	EXP 	GA: tex = 'sqr'
65.5410 	EXP 	GA: autoDraw = False
65.5410 	EXP 	aperture: enabled = False
65.5410 	EXP 	GA: autoDraw = False
65.5410 	EXP 	aperture: autoDraw = False
65.5410 	EXP 	aperture: enabled = False
65.5410 	EXP 	placeholder: autoDraw = True
66.5389 	EXP 	New trial (rep=3, index=0): None
66.5394 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
66.5395 	EXP 	New trial (rep=0, index=0): None
68.7943 	EXP 	placeholder: autoDraw = False
68.7943 	EXP 	aperture: enabled = True
68.7943 	EXP 	GA: autoDraw = True
68.7943 	EXP 	aperture: enabled = True
68.7943 	EXP 	GA: tex = 'sqr'
70.2785 	EXP 	GA: autoDraw = False
70.2785 	EXP 	aperture: enabled = False
70.2785 	EXP 	GA: autoDraw = False
70.2785 	EXP 	aperture: autoDraw = False
70.2785 	EXP 	aperture: enabled = False
70.2785 	EXP 	placeholder: autoDraw = True
71.2749 	EXP 	New trial (rep=1, index=0): None
73.5309 	EXP 	placeholder: autoDraw = False
73.5309 	EXP 	aperture: enabled = True
73.5309 	EXP 	GA: autoDraw = True
73.5309 	EXP 	aperture: enabled = True
73.5309 	EXP 	GA: tex = 'sqr'
75.0535 	EXP 	GA: autoDraw = False
75.0535 	EXP 	aperture: enabled = False
75.0535 	EXP 	GA: autoDraw = False
75.0535 	EXP 	aperture: autoDraw = False
75.0535 	EXP 	aperture: enabled = False
75.0535 	EXP 	placeholder: autoDraw = True
76.0525 	EXP 	New trial (rep=2, index=0): None
78.4997 	EXP 	placeholder: autoDraw = False
78.4997 	EXP 	aperture: enabled = True
78.4997 	EXP 	GA: autoDraw = True
78.4997 	EXP 	aperture: enabled = True
78.4997 	EXP 	GA: tex = 'sqr'
80.0267 	EXP 	GA: autoDraw = False
80.0267 	EXP 	aperture: enabled = False
80.0267 	EXP 	GA: autoDraw = False
80.0267 	EXP 	aperture: autoDraw = False
80.0267 	EXP 	aperture: enabled = False
80.0267 	EXP 	placeholder: autoDraw = True
81.0250 	EXP 	New trial (rep=3, index=0): None
83.3029 	EXP 	placeholder: autoDraw = False
83.3029 	EXP 	aperture: enabled = True
83.3029 	EXP 	GA: autoDraw = True
83.3029 	EXP 	aperture: enabled = True
83.3029 	EXP 	GA: tex = 'sqr'
84.7747 	EXP 	GA: autoDraw = False
84.7747 	EXP 	aperture: enabled = False
84.7747 	EXP 	GA: autoDraw = False
84.7747 	EXP 	aperture: autoDraw = False
84.7747 	EXP 	aperture: enabled = False
84.7747 	EXP 	placeholder: autoDraw = True
85.8260 	EXP 	window1: mouseVisible = True
