3.7129 	WARNING 	Speech-to-text recognition module for PocketSphinx is not available (use command `pip install SpeechRecognition` to get it). Transcription will be unavailable using that service this session.
33.3366 	EXP 	New trial (rep=1, index=0): None
33.3379 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
33.3382 	EXP 	New trial (rep=0, index=0): None
33.3546 	DATA 	Keypress: right
33.3603 	EXP 	placeholder: autoDraw = False
33.3603 	EXP 	aperture: enabled = True
33.3603 	EXP 	GA: autoDraw = True
33.3603 	EXP 	aperture: enabled = True
33.3603 	EXP 	GA: tex = 'sqr'
34.3659 	EXP 	GA: autoDraw = False
34.3659 	EXP 	aperture: enabled = False
34.3659 	EXP 	GA: autoDraw = False
34.3659 	EXP 	aperture: autoDraw = False
34.3659 	EXP 	aperture: enabled = False
34.3659 	EXP 	placeholder: autoDraw = True
34.5604 	DATA 	Keypress: right
34.5659 	EXP 	New trial (rep=1, index=0): None
34.5931 	EXP 	placeholder: autoDraw = False
34.5931 	EXP 	aperture: enabled = True
34.5931 	EXP 	GA: autoDraw = True
34.5931 	EXP 	aperture: enabled = True
34.5931 	EXP 	GA: tex = 'sqr'
35.5954 	EXP 	GA: autoDraw = False
35.5954 	EXP 	aperture: enabled = False
35.5954 	EXP 	GA: autoDraw = False
35.5954 	EXP 	aperture: autoDraw = False
35.5954 	EXP 	aperture: enabled = False
35.5954 	EXP 	placeholder: autoDraw = True
35.8222 	EXP 	New trial (rep=2, index=0): None
35.8433 	DATA 	Keypress: left
35.8486 	EXP 	placeholder: autoDraw = False
35.8486 	EXP 	aperture: enabled = True
35.8486 	EXP 	GA: autoDraw = True
35.8486 	EXP 	aperture: enabled = True
35.8486 	EXP 	GA: tex = 'sqr'
36.8489 	EXP 	GA: autoDraw = False
36.8489 	EXP 	aperture: enabled = False
36.8489 	EXP 	GA: autoDraw = False
36.8489 	EXP 	aperture: autoDraw = False
36.8489 	EXP 	aperture: enabled = False
36.8489 	EXP 	placeholder: autoDraw = True
37.0646 	EXP 	New trial (rep=3, index=0): None
37.0845 	DATA 	Keypress: right
37.0893 	EXP 	placeholder: autoDraw = False
37.0893 	EXP 	aperture: enabled = True
37.0893 	EXP 	GA: autoDraw = True
37.0893 	EXP 	aperture: enabled = True
37.0893 	EXP 	GA: tex = 'sqr'
38.0881 	EXP 	GA: autoDraw = False
38.0881 	EXP 	aperture: enabled = False
38.0881 	EXP 	GA: autoDraw = False
38.0881 	EXP 	aperture: autoDraw = False
38.0881 	EXP 	aperture: enabled = False
38.0881 	EXP 	placeholder: autoDraw = True
38.2951 	EXP 	New trial (rep=2, index=0): None
38.2965 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
38.2968 	EXP 	New trial (rep=0, index=0): None
38.3180 	DATA 	Keypress: right
38.3238 	EXP 	placeholder: autoDraw = False
38.3238 	EXP 	aperture: enabled = True
38.3238 	EXP 	GA: autoDraw = True
38.3238 	EXP 	aperture: enabled = True
38.3238 	EXP 	GA: tex = 'sqr'
39.3279 	EXP 	GA: autoDraw = False
39.3279 	EXP 	aperture: enabled = False
39.3279 	EXP 	GA: autoDraw = False
39.3279 	EXP 	aperture: autoDraw = False
39.3279 	EXP 	aperture: enabled = False
39.3279 	EXP 	placeholder: autoDraw = True
39.5452 	EXP 	New trial (rep=1, index=0): None
39.5668 	DATA 	Keypress: left
39.5722 	EXP 	placeholder: autoDraw = False
39.5722 	EXP 	aperture: enabled = True
39.5722 	EXP 	GA: autoDraw = True
39.5722 	EXP 	aperture: enabled = True
39.5722 	EXP 	GA: tex = 'sqr'
40.5721 	EXP 	GA: autoDraw = False
40.5721 	EXP 	aperture: enabled = False
40.5721 	EXP 	GA: autoDraw = False
40.5721 	EXP 	aperture: autoDraw = False
40.5721 	EXP 	aperture: enabled = False
40.5721 	EXP 	placeholder: autoDraw = True
40.7412 	DATA 	Keypress: left
40.7458 	EXP 	New trial (rep=2, index=0): None
40.7708 	EXP 	placeholder: autoDraw = False
40.7708 	EXP 	aperture: enabled = True
40.7708 	EXP 	GA: autoDraw = True
40.7708 	EXP 	aperture: enabled = True
40.7708 	EXP 	GA: tex = 'sqr'
41.7726 	EXP 	GA: autoDraw = False
41.7726 	EXP 	aperture: enabled = False
41.7726 	EXP 	GA: autoDraw = False
41.7726 	EXP 	aperture: autoDraw = False
41.7726 	EXP 	aperture: enabled = False
41.7726 	EXP 	placeholder: autoDraw = True
41.9693 	EXP 	New trial (rep=3, index=0): None
41.9918 	DATA 	Keypress: right
41.9971 	EXP 	placeholder: autoDraw = False
41.9971 	EXP 	aperture: enabled = True
41.9971 	EXP 	GA: autoDraw = True
41.9971 	EXP 	aperture: enabled = True
41.9971 	EXP 	GA: tex = 'sqr'
42.9995 	EXP 	GA: autoDraw = False
42.9995 	EXP 	aperture: enabled = False
42.9995 	EXP 	GA: autoDraw = False
42.9995 	EXP 	aperture: autoDraw = False
42.9995 	EXP 	aperture: enabled = False
42.9995 	EXP 	placeholder: autoDraw = True
43.1994 	DATA 	Keypress: left
43.2041 	EXP 	New trial (rep=3, index=0): None
43.2054 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
43.2056 	EXP 	New trial (rep=0, index=0): None
43.2304 	EXP 	placeholder: autoDraw = False
43.2304 	EXP 	aperture: enabled = True
43.2304 	EXP 	GA: autoDraw = True
43.2304 	EXP 	aperture: enabled = True
43.2304 	EXP 	GA: tex = 'sqr'
44.2314 	EXP 	GA: autoDraw = False
44.2314 	EXP 	aperture: enabled = False
44.2314 	EXP 	GA: autoDraw = False
44.2314 	EXP 	aperture: autoDraw = False
44.2314 	EXP 	aperture: enabled = False
44.2314 	EXP 	placeholder: autoDraw = True
44.4544 	EXP 	New trial (rep=1, index=0): None
44.4735 	DATA 	Keypress: left
44.4790 	EXP 	placeholder: autoDraw = False
44.4790 	EXP 	aperture: enabled = True
44.4790 	EXP 	GA: autoDraw = True
44.4790 	EXP 	aperture: enabled = True
44.4790 	EXP 	GA: tex = 'sqr'
45.4832 	EXP 	GA: autoDraw = False
45.4832 	EXP 	aperture: enabled = False
45.4832 	EXP 	GA: autoDraw = False
45.4832 	EXP 	aperture: autoDraw = False
45.4832 	EXP 	aperture: enabled = False
45.4832 	EXP 	placeholder: autoDraw = True
45.6855 	DATA 	Keypress: right
45.6902 	EXP 	New trial (rep=2, index=0): None
45.7141 	EXP 	placeholder: autoDraw = False
45.7141 	EXP 	aperture: enabled = True
45.7141 	EXP 	GA: autoDraw = True
45.7141 	EXP 	aperture: enabled = True
45.7141 	EXP 	GA: tex = 'sqr'
46.7120 	EXP 	GA: autoDraw = False
46.7120 	EXP 	aperture: enabled = False
46.7120 	EXP 	GA: autoDraw = False
46.7120 	EXP 	aperture: autoDraw = False
46.7120 	EXP 	aperture: enabled = False
46.7120 	EXP 	placeholder: autoDraw = True
46.9191 	EXP 	New trial (rep=3, index=0): None
46.9379 	DATA 	Keypress: right
46.9431 	EXP 	placeholder: autoDraw = False
46.9431 	EXP 	aperture: enabled = True
46.9431 	EXP 	GA: autoDraw = True
46.9431 	EXP 	aperture: enabled = True
46.9431 	EXP 	GA: tex = 'sqr'
47.9426 	EXP 	GA: autoDraw = False
47.9426 	EXP 	aperture: enabled = False
47.9426 	EXP 	GA: autoDraw = False
47.9426 	EXP 	aperture: autoDraw = False
47.9426 	EXP 	aperture: enabled = False
47.9426 	EXP 	placeholder: autoDraw = True
48.1367 	DATA 	Keypress: right
48.1461 	EXP 	placeholder: autoDraw = False
49.0638 	EXP 	window1: mouseVisible = True
