GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,12.552858699986245,14.04974200000288,"(-16, 0)",14.04974200000288,17.27260430000024,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
0,0,0,0,1,0,1,0,,17.27260430000024,18.749377300031483,"(-16, 0)",18.749377300031483,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
0,0,0,0,2,0,2,0,,21.990833699994255,23.4809681000188,"(16, 0)",23.4809681000188,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
0,0,0,0,3,0,3,0,,26.663818800006993,28.11260420002509,"(-16, 0)",28.11260420002509,31.351926300034393,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
1,0,1,0,0,0,0,0,0.8,31.351926300034393,32.81773350003641,"(16, 0)",32.81773350003641,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
1,0,1,0,1,0,1,0,,36.04282810003497,37.53043859999161,"(16, 0)",37.53043859999161,40.745075799990445,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
1,0,1,0,2,0,2,0,,40.745075799990445,42.221111899998505,"(-16, 0)",42.221111899998505,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
1,0,1,0,3,0,3,0,,45.456152500002645,46.925568800012115,"(-16, 0)",46.925568800012115,50.175290299986955,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
2,0,2,0,0,0,0,0,0.6000000000000001,50.175290299986955,51.665198800037615,"(16, 0)",51.665198800037615,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
2,0,2,0,1,0,1,0,,54.91838620003546,56.3989195000031,"(16, 0)",56.3989195000031,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
2,0,2,0,2,0,2,0,,59.65205820003757,61.12853779998841,"(-16, 0)",61.12853779998841,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
2,0,2,0,3,0,3,0,,64.35060430003796,65.80709479999496,"(16, 0)",65.80709479999496,69.0094575000112,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
3,0,3,0,0,0,0,0,0.4000000000000001,69.0094575000112,70.52068840002175,"(16, 0)",70.52068840002175,73.75948770000832,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
3,0,3,0,1,0,1,0,,73.75948770000832,75.23297340003774,"(-16, 0)",75.23297340003774,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
3,0,3,0,2,0,2,0,,78.46556959999725,79.94282669998938,"(-16, 0)",79.94282669998938,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
3,0,3,0,3,0,3,0,,83.1584533000132,84.65912580001168,"(-16, 0)",84.65912580001168,,257976,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h17.33.369,iva,2022.2.5,143.36568145317824,
