GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,placeholder.stopped,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,1.0,11.906832200009376,13.406005700002424,"(-16, 0)",13.406005700002424,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
0,0,0,0,1,0,1,0,,16.663695299997926,18.172219400003087,"(-16, 0)",18.172219400003087,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
0,0,0,0,2,0,2,0,,21.471168799966108,22.9439339999808,"(16, 0)",22.9439339999808,26.19455899996683,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
0,0,0,0,3,0,3,0,,26.19455899996683,27.693624800012913,"(16, 0)",27.693624800012913,30.971774199977517,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
1,0,1,0,0,0,0,0,0.8,30.971774199977517,32.47996409999905,"(16, 0)",32.47996409999905,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
1,0,1,0,1,0,1,0,,35.74158400000306,37.25310869998066,"(16, 0)",37.25310869998066,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
1,0,1,0,2,0,2,0,,40.495162400009576,41.952212999982294,"(16, 0)",41.952212999982294,45.196839299984276,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
1,0,1,0,3,0,3,0,,45.196839299984276,46.65841949998867,"(16, 0)",46.65841949998867,49.93122109997785,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
2,0,2,0,0,0,0,0,0.6000000000000001,49.93122109997785,51.42645949998405,"(16, 0)",51.42645949998405,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
2,0,2,0,1,0,1,0,,54.65121460001683,56.1354470999795,"(16, 0)",56.1354470999795,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
2,0,2,0,2,0,2,0,,59.370035099971574,60.883430999994744,"(16, 0)",60.883430999994744,64.10855219996301,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
2,0,2,0,3,0,3,0,,64.10855219996301,65.60883240000112,"(-16, 0)",65.60883240000112,68.84395479998784,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
3,0,3,0,0,0,0,0,0.4000000000000001,68.84395479998784,70.35094199999003,"(-16, 0)",70.35094199999003,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
3,0,3,0,1,0,1,0,,73.58622940001078,75.04219830001239,"(-16, 0)",75.04219830001239,78.24958910001442,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
3,0,3,0,2,0,2,0,,78.24958910001442,79.73938360001193,"(16, 0)",79.73938360001193,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
3,0,3,0,3,0,3,0,,82.9715920999879,84.46038279996719,"(16, 0)",84.46038279996719,,445932,001,8.5,0.8,1,-0.2,0.2,1,2023-10-20_12h08.58.475,iva,2022.2.5,143.39878059275705,
