GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.235663600000407,8.235663600000407,space,2.2713069999990694,,,,,,,,,,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
0,0,0,0,0,0,0,0,,,,,1.0,10.557758700000704,11.559513000000152,"(16, 0)",11.559513000000152,11.559513000000152,right,1,2.5678458999991562,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
0,0,0,0,1,0,1,0,,,,,,14.143884300000536,15.142798300000322,"(-16, 0)",15.142798300000322,15.142798300000322,left,1,0.40215229999921576,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
0,0,0,0,2,0,2,0,,,,,,15.561283200000616,16.559390500000518,"(-16, 0)",16.559390500000518,16.559390500000518,left,1,0.24168169999938982,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
0,0,0,0,3,0,3,0,,,,,,16.819624500000828,17.816323300000477,"(-16, 0)",17.816323300000477,17.816323300000477,left,1,0.18980239999928017,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
1,0,1,0,0,0,0,0,,,,,0.8,18.02611330000036,19.024623500000416,"(16, 0)",19.024623500000416,19.024623500000416,right,1,0.15707229999952688,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
1,0,1,0,1,0,1,0,,,,,,19.197404700000334,20.198179700000765,"(16, 0)",20.198179700000765,20.198179700000765,right,1,0.1124560999996902,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
1,0,1,0,2,0,2,0,,,,,,20.32925560000058,21.32995740000024,"(-16, 0)",21.32995740000024,21.32995740000024,left,1,0.02430129999993369,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
1,0,1,0,3,0,3,0,,,,,,21.372227500000008,22.37172190000001,"(-16, 0)",22.37172190000001,22.37172190000001,left,1,0.15052189999914845,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
2,0,2,0,0,0,0,0,,,,,0.6000000000000001,22.53959810000015,23.538377400000172,"(16, 0)",23.538377400000172,23.538377400000172,right,1,0.043129799999405805,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
2,0,2,0,1,0,1,0,,,,,,23.601548500000717,24.600753500000792,"(-16, 0)",24.600753500000792,24.600753500000792,left,1,0.4460497000000032,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
2,0,2,0,2,0,2,0,,,,,,25.06563619999997,26.066173100000015,"(16, 0)",26.066173100000015,26.066173100000015,right,1,0.19736479999937728,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
2,0,2,0,3,0,3,0,,,,,,26.287606400000186,27.288239299999987,"(16, 0)",27.288239299999987,27.288239299999987,right,1,0.11984469999970315,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
3,0,3,0,0,0,0,0,,,,,0.4000000000000001,27.43039840000074,28.427220500000658,"(16, 0)",28.427220500000658,28.427220500000658,right,1,0.20166429999972024,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
3,0,3,0,1,0,1,0,,,,,,28.652871300000697,29.649416900000688,"(-16, 0)",29.649416900000688,29.649416900000688,left,1,0.09487149999949906,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
3,0,3,0,2,0,2,0,,,,,,29.765382900000077,30.760253600000397,"(-16, 0)",30.760253600000397,30.760253600000397,left,1,0.23470139999972162,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
3,0,3,0,3,0,3,0,,,,,,31.009800100000575,32.01040760000069,"(16, 0)",32.01040760000069,32.01040760000069,right,1,0.21752470000046742,158610,001,8.5,0.8,1,-0.2,0.2,1,2023-04-03_07h29.27.598,iva,2022.2.5,143.95738861383728,
