ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.019109399999934,22.019109399999934,space,1.0350659000000633,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
0,0,0,0,0,0,0,0,,,,,0.05067039614746459,2.647,23.139865999999984,23.139865999999984,23.241176600000017,23.241176600000017,"(-16, 0)",23.241176600000017,23.241176600000017,23.241176600000017,j,1,3.417828899999904,26.670824100000118,27.181300799999917,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
1,0,1,0,0,0,0,0,,,,,0.824,2.647,27.181300799999917,27.181300799999917,27.28174809999996,27.28174809999996,"(-16, 0)",27.28174809999996,27.28174809999996,27.28174809999996,j,1,0.510144500000024,27.802469499999916,28.312284500000032,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
2,0,2,0,0,0,0,0,,,,,0.05067039614746459,2.647,28.312284500000032,28.312284500000032,28.413957900000014,28.413957900000014,"(-16, 0)",28.413957900000014,28.413957900000014,28.413957900000014,j,1,0.30971299999987423,28.733376000000135,29.242148699999916,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
3,0,3,0,0,0,0,0,,,,,0.824,2.647,29.242148699999916,29.242148699999916,29.34408180000014,29.34408180000014,"(16, 0)",29.34408180000014,29.34408180000014,29.34408180000014,k,1,0.2676398999999492,29.622687999999926,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
4,0,4,0,0,0,0,0,,,,,0.12837445228704972,2.647,30.138340599999992,30.138340599999992,30.239614300000085,30.239614300000085,"(-16, 0)",30.239614300000085,30.239614300000085,30.239614300000085,j,1,0.23527859999990142,30.4832100000001,30.990685900000017,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
5,0,5,0,0,0,0,0,,,,,0.12837445228704972,2.647,30.990685900000017,30.990685900000017,31.09436740000001,31.09436740000001,"(-16, 0)",31.09436740000001,31.09436740000001,31.09436740000001,j,1,0.21012550000000374,31.316320599999926,31.826413700000103,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
6,0,6,0,0,0,0,0,,,,,0.020000000000000004,2.647,31.826413700000103,31.826413700000103,31.927462200000036,31.927462200000036,"(16, 0)",31.927462200000036,31.927462200000036,31.927462200000036,k,1,0.23724779999997736,32.17677559999993,32.6869650000001,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
7,0,7,0,0,0,0,0,,,,,0.824,2.647,32.6869650000001,32.6869650000001,32.788925399999926,32.788925399999926,"(-16, 0)",32.788925399999926,32.788925399999926,32.788925399999926,j,1,0.23547469999994064,33.03244829999994,33.54254530000003,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
8,0,8,0,0,0,0,0,,,,,0.05067039614746459,2.647,33.54254530000003,33.54254530000003,33.643783199999916,33.643783199999916,"(16, 0)",33.643783199999916,33.643783199999916,33.643783199999916,k,1,0.24694789999989553,33.89909560000001,34.4090106000001,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,223586,001,0.1,2023-08-13_03h15.32.914,stimuli3,2022.2.5,144.15100105679377,
