GA_loop.thisRepN,GA_loop.thisTrialN,GA_loop.thisN,GA_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,aperture.started,aperture.stopped,position.routineEndVal,placeholder.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus size,spatial freq,start contrast,step contrast,end contrast,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.335997199999838,21.335997199999838,space,5.2480821999997715,,,,,,,,,,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
0,0,0,0,0,0,0,0,,,,,1.0,26.670357400000285,27.673371599999882,"(-16, 0)",27.673371599999882,27.673371599999882,left,1,1.7854713999986416,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
0,0,0,0,1,0,1,0,,,,,,29.479683300000033,30.477292300000045,"(16, 0)",30.477292300000045,30.477292300000045,right,1,0.36882609999884153,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
0,0,0,0,2,0,2,0,,,,,,30.874367500000517,31.875274800000625,"(16, 0)",31.875274800000625,31.875274800000625,right,1,0.23478129999966768,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
0,0,0,0,3,0,3,0,,,,,,32.13500120000026,33.137580000000526,"(16, 0)",33.137580000000526,33.137580000000526,right,1,0.19263209999917308,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
1,0,1,0,0,0,0,0,,,,,0.8,33.36027699999977,34.36586259999967,"(16, 0)",34.36586259999967,34.36586259999967,right,1,0.19254499999988184,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
1,0,1,0,1,0,1,0,,,,,,34.59305630000017,35.595425700001215,"(-16, 0)",35.595425700001215,35.595425700001215,left,1,0.22007069999926898,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
1,0,1,0,2,0,2,0,,,,,,35.84859260000121,36.84888740000133,"(16, 0)",36.84888740000133,36.84888740000133,right,1,0.21024079999915557,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
1,0,1,0,3,0,3,0,,,,,,37.08933070000057,38.0880728000011,"(16, 0)",38.0880728000011,38.0880728000011,right,1,0.2039318999995885,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
2,0,2,0,0,0,0,0,,,,,0.6000000000000001,38.32382610000059,39.32793000000129,"(-16, 0)",39.32793000000129,39.32793000000129,left,1,0.2139419999984966,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
2,0,2,0,1,0,1,0,,,,,,39.57222360000014,40.57210240000131,"(-16, 0)",40.57210240000131,40.57210240000131,left,1,0.16757269999834534,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
2,0,2,0,2,0,2,0,,,,,,40.77083649999986,41.77263280000079,"(16, 0)",41.77263280000079,41.77263280000079,right,1,0.19318720000046596,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
2,0,2,0,3,0,3,0,,,,,,41.997122700000546,42.999458800000866,"(-16, 0)",42.999458800000866,42.999458800000866,left,1,0.19710939999822585,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
3,0,3,0,0,0,0,0,,,,,0.4000000000000001,43.23038319999978,44.231362600001376,"(-16, 0)",44.231362600001376,44.231362600001376,left,1,0.21887249999963387,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
3,0,3,0,1,0,1,0,,,,,,44.47896180000134,45.483235600000626,"(16, 0)",45.483235600000626,45.483235600000626,right,1,0.20104449999962526,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
3,0,3,0,2,0,2,0,,,,,,45.71413550000034,46.711998500000846,"(16, 0)",46.711998500000846,46.711998500000846,right,1,0.2049654999991617,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
3,0,3,0,3,0,3,0,,,,,,46.943126800000755,47.942635400000654,"(16, 0)",47.942635400000654,47.942635400000654,right,1,0.19238749999931315,767355,001,8.5,0.8,1,-0.2,0.2,1,2023-04-11_15h53.49.807,iva,2022.2.5,144.30889029357144,
