ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.67306919998373,31.67306919998373,space,6.242376699985471,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
0,0,0,0,0,0,0,0,,,,,0.5,0.1414213562373095,38.04394519998459,38.04394519998459,38.1544842000003,38.1544842000003,"(-16, -8)",38.1544842000003,38.1544842000003,38.1544842000003,j,1,2.4033799000026193,40.56793759998982,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
1,0,1,0,0,0,0,0,,,,,0.5,0.2184185113250844,41.09064739997848,41.09064739997848,41.19881249999162,41.19881249999162,"(-16, 8)",41.19881249999162,41.19881249999162,41.19881249999162,u,1,0.3036304999841377,41.51100070000393,42.02892499999143,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
2,0,2,0,0,0,0,0,,,,,0.5,1.0,42.02892499999143,42.02892499999143,42.134973699983675,42.134973699983675,"(16, 8)",42.134973699983675,42.134973699983675,42.134973699983675,i,1,0.22088979999534786,42.365437000000384,42.885837999987416,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
3,0,3,0,0,0,0,0,,,,,0.5,0.17575278688808205,42.885837999987416,42.885837999987416,42.991471299988916,42.991471299988916,"(-16, -8)",42.991471299988916,42.991471299988916,42.991471299988916,j,1,0.30601969998679124,43.30964459999814,43.8257825000037,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
4,0,4,0,0,0,0,0,,,,,0.5,0.1414213562373095,43.8257825000037,43.8257825000037,43.928893499978585,43.928893499978585,"(16, -8)",43.928893499978585,43.928893499978585,43.928893499978585,k,1,0.15358919999562204,44.093936499994015,44.613539699988905,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
5,0,5,0,0,0,0,0,,,,,0.5,0.09156733043671784,44.613539699988905,44.613539699988905,44.72162959998241,44.72162959998241,"(16, 8)",44.72162959998241,44.72162959998241,44.72162959998241,i,1,0.2611257999960799,44.9910195999837,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
6,0,6,0,0,0,0,0,,,,,0.5,0.4192288001653537,45.51146039998275,45.51146039998275,45.616439100005664,45.616439100005664,"(16, 8)",45.616439100005664,45.616439100005664,45.616439100005664,i,1,0.22888340000645258,45.858371099981014,46.37325309999869,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
7,0,7,0,0,0,0,0,,,,,0.5,0.02485519748419939,46.37325309999869,46.37325309999869,46.47777090000454,46.47777090000454,"(-16, 8)",46.47777090000454,46.47777090000454,46.47777090000454,u,1,0.21547369999461807,46.70494860000326,47.22114509998937,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
8,0,8,0,0,0,0,0,,,,,0.5,0.03838766207332969,47.22114509998937,47.22114509998937,47.32434649998322,47.32434649998322,"(16, 8)",47.32434649998322,47.32434649998322,47.32434649998322,i,1,4.213172599993413,51.54504719999386,52.06710149999708,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
9,0,9,0,0,0,0,0,,,,,0.5,0.11379620405527817,52.06710149999708,52.06710149999708,52.17210080000223,52.17210080000223,"(16, -8)",52.17210080000223,52.17210080000223,52.17210080000223,k,1,0.30970839998917654,52.489518099988345,53.00489899999229,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
10,0,10,0,0,0,0,0,,,,,0.5,0.03838766207332969,53.00489899999229,53.00489899999229,53.110288600000786,53.110288600000786,"(-16, 8)",53.110288600000786,53.110288600000786,53.110288600000786,u,1,0.22988219998660497,53.351569599995855,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,575842,001,0.1,2023-08-13_01h14.49.131,stimuli3,2022.2.5,144.4735959855585,
