37.2531 	EXP 	placeholder: autoDraw = True
38.2515 	EXP 	New trial (rep=2, index=0): None
40.4952 	EXP 	placeholder: autoDraw = False
40.4952 	EXP 	aperture: enabled = True
40.4952 	EXP 	GA: autoDraw = True
40.4952 	EXP 	aperture: enabled = True
40.4952 	EXP 	GA: tex = 'sqr'
41.9522 	EXP 	GA: autoDraw = False
41.9522 	EXP 	aperture: enabled = False
41.9522 	EXP 	GA: autoDraw = False
41.9522 	EXP 	aperture: autoDraw = False
41.9522 	EXP 	aperture: enabled = False
41.9522 	EXP 	placeholder: autoDraw = True
42.9463 	EXP 	New trial (rep=3, index=0): None
45.1968 	EXP 	placeholder: autoDraw = False
45.1968 	EXP 	placeholder: autoDraw = False
45.1968 	EXP 	aperture: enabled = True
45.1968 	EXP 	GA: autoDraw = True
45.1968 	EXP 	aperture: enabled = True
45.1968 	EXP 	GA: tex = 'sqr'
46.6584 	EXP 	GA: autoDraw = False
46.6584 	EXP 	aperture: enabled = False
46.6584 	EXP 	GA: autoDraw = False
46.6584 	EXP 	aperture: autoDraw = False
46.6584 	EXP 	aperture: enabled = False
46.6584 	EXP 	placeholder: autoDraw = True
47.6542 	EXP 	New trial (rep=2, index=0): None
47.6547 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
47.6548 	EXP 	New trial (rep=0, index=0): None
49.9312 	EXP 	placeholder: autoDraw = False
49.9312 	EXP 	placeholder: autoDraw = False
49.9312 	EXP 	aperture: enabled = True
49.9312 	EXP 	GA: autoDraw = True
49.9312 	EXP 	aperture: enabled = True
49.9312 	EXP 	GA: tex = 'sqr'
51.4265 	EXP 	GA: autoDraw = False
51.4265 	EXP 	aperture: enabled = False
51.4265 	EXP 	GA: autoDraw = False
51.4265 	EXP 	aperture: autoDraw = False
51.4265 	EXP 	aperture: enabled = False
51.4265 	EXP 	placeholder: autoDraw = True
52.4249 	EXP 	New trial (rep=1, index=0): None
54.6512 	EXP 	placeholder: autoDraw = False
54.6512 	EXP 	aperture: enabled = True
54.6512 	EXP 	GA: autoDraw = True
54.6512 	EXP 	aperture: enabled = True
54.6512 	EXP 	GA: tex = 'sqr'
56.1354 	EXP 	GA: autoDraw = False
56.1354 	EXP 	aperture: enabled = False
56.1354 	EXP 	GA: autoDraw = False
56.1354 	EXP 	aperture: autoDraw = False
56.1354 	EXP 	aperture: enabled = False
56.1354 	EXP 	placeholder: autoDraw = True
57.1333 	EXP 	New trial (rep=2, index=0): None
59.3700 	EXP 	placeholder: autoDraw = False
59.3700 	EXP 	aperture: enabled = True
59.3700 	EXP 	GA: autoDraw = True
59.3700 	EXP 	aperture: enabled = True
59.3700 	EXP 	GA: tex = 'sqr'
60.8834 	EXP 	GA: autoDraw = False
60.8834 	EXP 	aperture: enabled = False
60.8834 	EXP 	GA: autoDraw = False
60.8834 	EXP 	aperture: autoDraw = False
60.8834 	EXP 	aperture: enabled = False
60.8834 	EXP 	placeholder: autoDraw = True
61.8760 	EXP 	New trial (rep=3, index=0): None
64.1086 	EXP 	placeholder: autoDraw = False
64.1086 	EXP 	placeholder: autoDraw = False
64.1086 	EXP 	aperture: enabled = True
64.1086 	EXP 	GA: autoDraw = True
64.1086 	EXP 	aperture: enabled = True
64.1086 	EXP 	GA: tex = 'sqr'
65.6088 	EXP 	GA: autoDraw = False
65.6088 	EXP 	aperture: enabled = False
65.6088 	EXP 	GA: autoDraw = False
